currentPrice,deliveryMethodList,deliveryTypeList,dirtyTicketInd,faceValue,isGA,listingAttributeCategoryList,listingAttributeList,listingId,listingPrice,quantity,row,score,seatNumbers,sectionId,sectionName,sellerOwnInd,sellerSectionName,splitOption,splitVector,ticketSplit,zoneId,zoneName,amount
"{'amount': 134.85, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285844261,"{'amount': 108.0, 'currency': 'USD'}",2,BS3,0.0,"16,17",369770,West Balcony 322,0,West Balcony 322,0,[2],2,78446,West Balcony,134.85
"{'amount': 137.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286809961,"{'amount': 110.0, 'currency': 'USD'}",2,3,0.0,"6,7",369780,400 Level - 420,0,400 Level - 420,0,[2],2,78440,400 Level,137.25
"{'amount': 137.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286968174,"{'amount': 110.0, 'currency': 'USD'}",2,3,0.0,"20,21",369778,400 Level - 418,0,418,1,[2],2,78440,400 Level,137.25
"{'amount': 140.5, 'currency': 'USD'}",[1],[1],False,,0,,,1288770329,"{'amount': 115.0, 'currency': 'USD'}",1,20,0.0,12,369799,200 Level - 226,0,200 Level - 226,2,[1],1,78443,200 Level,140.5
"{'amount': 146.5, 'currency': 'USD'}",[1],[1],False,,0,,,1286992177,"{'amount': 120.0, 'currency': 'USD'}",2,7,0.0,"19,20",369774,400 Level - 414,0,414,0,[2],2,78440,400 Level,146.5
"{'amount': 147.15, 'currency': 'USD'}",[1],[1],False,,0,,,1285846295,"{'amount': 120.54, 'currency': 'USD'}",2,23,0.0,"8,9",369789,200 Level - 209,0,209,0,[2],2,78443,200 Level,147.15
"{'amount': 150.1, 'currency': 'USD'}",[1],[1],False,"{'amount': 97.9, 'currency': 'USD'}",0,,,1287078202,"{'amount': 123.0, 'currency': 'USD'}",2,24,0.0,,369799,200 Level - 226,0,226,2,[2],1,78443,200 Level,150.1
"{'amount': 151.01, 'currency': 'USD'}",[1],[1],False,,0,,,1285883471,"{'amount': 123.76, 'currency': 'USD'}",4,6,0.0,,369779,400 Level - 419,0,419,1,"[2, 4]",2,78440,400 Level,151.01
"{'amount': 151.01, 'currency': 'USD'}",[1],[1],False,,0,,,1285883474,"{'amount': 123.76, 'currency': 'USD'}",2,6,0.0,,369774,400 Level - 414,0,414,2,[2],1,78440,400 Level,151.01
"{'amount': 151.01, 'currency': 'USD'}",[1],[1],False,,0,,,1285883484,"{'amount': 123.76, 'currency': 'USD'}",4,7,0.0,,369778,400 Level - 418,0,418,1,"[2, 4]",2,78440,400 Level,151.01
"{'amount': 151.65, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1288020685,"{'amount': 122.0, 'currency': 'USD'}",1,3,0.0,PTBM,369779,400 Level - 419,0,400 Level - 419,0,[1],1,78440,400 Level,151.65
"{'amount': 152.5, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1287630601,"{'amount': 125.0, 'currency': 'USD'}",2,7,0.0,"2,1",369778,400 Level - 418,0,400 Level - 418,0,[2],2,78440,400 Level,152.5
"{'amount': 153.38, 'currency': 'USD'}",[1],[1],False,,0,,,1288777556,"{'amount': 125.73, 'currency': 'USD'}",2,19,0.0,"9,10",369801,200 Level - 212,0,212,2,[2],1,78443,200 Level,153.38
"{'amount': 155.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285877146,"{'amount': 125.0, 'currency': 'USD'}",1,2,0.0,16,369767,West Balcony 319,0,West Balcony 319,0,[1],1,78446,West Balcony,155.25
"{'amount': 157.13, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1284893935,"{'amount': 126.57, 'currency': 'USD'}",4,19,0.0,"6,5,4,3",369757,100 Level - 113,0,100 Level - 113,2,"[1, 2, 4]",1,78442,100 Level,157.13
"{'amount': 157.25, 'currency': 'USD'}",[1],[1],False,,0,,,1285883483,"{'amount': 128.96, 'currency': 'USD'}",2,2,0.0,,369777,400 Level - 417,0,417,2,[2],1,78440,400 Level,157.25
"{'amount': 157.25, 'currency': 'USD'}",[1],[1],False,,0,,,1285883475,"{'amount': 128.96, 'currency': 'USD'}",4,4,0.0,,369776,400 Level - 416,0,416,1,"[2, 4]",2,78440,400 Level,157.25
"{'amount': 157.25, 'currency': 'USD'}",[1],[1],False,,0,,,1285848856,"{'amount': 128.96, 'currency': 'USD'}",2,5,0.0,,369778,400 Level - 418,0,418,2,[2],1,78440,400 Level,157.25
"{'amount': 157.25, 'currency': 'USD'}",[1],[1],False,,0,,,1285883486,"{'amount': 128.96, 'currency': 'USD'}",4,5,0.0,,369775,400 Level - 415,0,415,1,"[2, 4]",2,78440,400 Level,157.25
"{'amount': 157.25, 'currency': 'USD'}",[1],[1],False,,0,,,1285883485,"{'amount': 128.96, 'currency': 'USD'}",2,4,0.0,,369778,400 Level - 418,0,418,2,[2],1,78440,400 Level,157.25
"{'amount': 157.25, 'currency': 'USD'}",[1],[1],False,,0,,,1285883479,"{'amount': 128.96, 'currency': 'USD'}",2,2,0.0,,369807,200 Level - 218,0,218,2,[2],1,78443,200 Level,157.25
"{'amount': 157.3, 'currency': 'USD'}",[1],[1],False,,0,,[3288],1285838136,"{'amount': 129.0, 'currency': 'USD'}",2,3,0.0,General Admission,369803,200 Level - 214,0,200 Level - 214,0,[2],2,78443,200 Level,157.3
"{'amount': 157.65, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286123392,"{'amount': 127.0, 'currency': 'USD'}",2,12,0.0,"11,12",369797,200 Level - 224,0,200 Level - 224,0,[2],2,78443,200 Level,157.65
"{'amount': 157.95, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1286011603,"{'amount': 129.54, 'currency': 'USD'}",2,2,0.0,"1,2",369779,400 Level - 419,0,419,2,[2],1,78440,400 Level,157.95
"{'amount': 161.26, 'currency': 'USD'}",[1],[1],False,,0,,,1288313698,"{'amount': 132.3, 'currency': 'USD'}",2,7,0.0,General Admission,369776,400 Level - 416,0,416,2,[2],1,78440,400 Level,161.26
"{'amount': 163.3, 'currency': 'USD'}",[1],[1],False,"{'amount': 97.9, 'currency': 'USD'}",0,,,1287103672,"{'amount': 134.0, 'currency': 'USD'}",2,14,0.0,"8,9",369799,200 Level - 226,0,226,2,[2],1,78443,200 Level,163.3
"{'amount': 163.66, 'currency': 'USD'}",[1],[1],False,,0,,,1285985142,"{'amount': 134.3, 'currency': 'USD'}",2,4,0.0,"9,10",369779,400 Level - 419,0,400 Level - 419,0,[2],2,78440,400 Level,163.66
"{'amount': 164.5, 'currency': 'USD'}",[1],[1],False,,0,,,1285845575,"{'amount': 135.0, 'currency': 'USD'}",2,24,0.0,General Admission,369790,200 Level - 210,0,200 Level - 210,0,[2],2,78443,200 Level,164.5
"{'amount': 164.5, 'currency': 'USD'}",[1],[1],False,,0,,,1288026208,"{'amount': 135.0, 'currency': 'USD'}",1,13,0.0,4,369794,200 Level - 221,0,200 Level - 221,0,[1],1,78443,200 Level,164.5
"{'amount': 165.56, 'currency': 'USD'}",[1],[1],False,,0,,,1286016698,"{'amount': 135.88, 'currency': 'USD'}",3,1,0.0,"5,6,7",369774,400 Level - 414,0,400 Level - 414,2,"[1, 3]",1,78440,400 Level,165.56
"{'amount': 165.64, 'currency': 'USD'}",[1],[1],False,,0,[1],"[201, 2361]",1288826595,"{'amount': 135.95, 'currency': 'USD'}",1,17,0.0,,369754,100 Level - 110,0,110,2,[1],1,78442,100 Level,165.64
"{'amount': 165.64, 'currency': 'USD'}",[1],[1],False,,0,[1],"[201, 2361]",1288827253,"{'amount': 135.95, 'currency': 'USD'}",1,17,0.0,,369758,100 Level - 114,0,114,2,[1],1,78442,100 Level,165.64
"{'amount': 165.64, 'currency': 'USD'}",[1],[1],False,,0,,,1288826615,"{'amount': 135.95, 'currency': 'USD'}",1,6,0.0,,369799,200 Level - 226,0,226,2,[1],1,78443,200 Level,165.64
"{'amount': 167.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285915309,"{'amount': 135.0, 'currency': 'USD'}",3,21,0.0,"3,2,1-3",369800,200 Level - 227,0,200 Level - 227,2,"[1, 3]",1,78443,200 Level,167.25
"{'amount': 167.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1285853154,"{'amount': 135.0, 'currency': 'USD'}",2,2,0.0,,369768,West Balcony 320,0,320,0,[2],2,78446,West Balcony,167.25
"{'amount': 167.5, 'currency': 'USD'}",[1],[1],False,,0,,,1285836496,"{'amount': 137.5, 'currency': 'USD'}",2,5,0.0,General Admission,369794,200 Level - 221,0,200 Level - 221,0,[2],2,78443,200 Level,167.5
"{'amount': 167.74, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1286011619,"{'amount': 137.7, 'currency': 'USD'}",4,13,0.0,"3,4,5,6",369804,200 Level - 215,0,215,2,"[1, 2, 4]",1,78443,200 Level,167.74
"{'amount': 168.1, 'currency': 'USD'}",[1],[1],False,,0,,,1288025763,"{'amount': 138.0, 'currency': 'USD'}",1,20,0.0,General Admission,369789,200 Level - 209,0,209,0,[1],1,78443,200 Level,168.1
"{'amount': 169.73, 'currency': 'USD'}",[1],[1],False,,0,,,1285884377,"{'amount': 139.36, 'currency': 'USD'}",4,18,0.0,,369795,200 Level - 222,0,222,1,"[2, 4]",2,78443,200 Level,169.73
"{'amount': 169.73, 'currency': 'USD'}",[1],[1],False,,0,,,1285884361,"{'amount': 139.36, 'currency': 'USD'}",2,9,0.0,,369794,200 Level - 221,0,221,2,[2],1,78443,200 Level,169.73
"{'amount': 170.85, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1284869450,"{'amount': 138.0, 'currency': 'USD'}",4,24,0.0,"3,4,5,6",369802,200 Level - 213,0,200 Level - 213,2,"[1, 2, 4]",1,78443,200 Level,170.85
"{'amount': 172.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 93.45, 'currency': 'USD'}",0,,[205],1285826431,"{'amount': 139.0, 'currency': 'USD'}",4,15,0.0,,369802,200 Level - 213,0,213,2,"[1, 2, 4]",1,78443,200 Level,172.05
"{'amount': 172.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1285839987,"{'amount': 139.0, 'currency': 'USD'}",2,6,0.0,,369798,200 Level - 225,0,225,2,[2],1,78443,200 Level,172.05
"{'amount': 172.48, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1285883477,"{'amount': 139.36, 'currency': 'USD'}",2,2,0.0,,369768,West Balcony 320,0,320,2,[2],1,78446,West Balcony,172.48
"{'amount': 172.9, 'currency': 'USD'}",[1],[1],False,,0,,,1285838859,"{'amount': 142.0, 'currency': 'USD'}",2,14,0.0,General Admission,369755,100 Level - 111,0,100 Level - 111,0,[2],2,78442,100 Level,172.9
"{'amount': 173.02, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1287558699,"{'amount': 142.1, 'currency': 'USD'}",2,16,0.0,General Admission,369755,100 Level - 111,0,111,2,[2],1,78442,100 Level,173.02
"{'amount': 173.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285948584,"{'amount': 140.0, 'currency': 'USD'}",1,5,0.0,General Admission,369805,200 Level - 216,0,200 Level - 216,0,[1],1,78443,200 Level,173.25
"{'amount': 173.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,[14185],1285011031,"{'amount': 140.0, 'currency': 'USD'}",4,21,0.0,"Ga4,Ga3,Ga1,Ga2",369758,100 Level - 114,0,100 Level - 114,1,"[2, 4]",2,78442,100 Level,173.25
"{'amount': 175.64, 'currency': 'USD'}",[1],[1],False,,0,,,1285949381,"{'amount': 144.28, 'currency': 'USD'}",4,20,0.0,,369795,200 Level - 222,0,222,2,"[1, 2, 4]",1,78443,200 Level,175.64
"{'amount': 175.66, 'currency': 'USD'}",[1],[1],False,,0,,[3288],1285839157,"{'amount': 144.3, 'currency': 'USD'}",2,14,0.0,"11,12",369795,200 Level - 222,0,222,1,[2],2,78443,200 Level,175.66
"{'amount': 175.83, 'currency': 'USD'}",[1],[1],False,,0,,,1285840960,"{'amount': 144.44, 'currency': 'USD'}",2,13,0.0,General Admission,369803,200 Level - 214,0,200 Level - 214,0,[2],2,78443,200 Level,175.83
"{'amount': 178.05, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1284964694,"{'amount': 144.0, 'currency': 'USD'}",2,13,0.0,"11,12",369797,200 Level - 224,0,200 Level - 224,0,[2],2,78443,200 Level,178.05
"{'amount': 179.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1285838829,"{'amount': 145.0, 'currency': 'USD'}",2,16,0.0,,369797,200 Level - 224,0,224,2,[2],1,78443,200 Level,179.25
"{'amount': 179.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286046628,"{'amount': 145.0, 'currency': 'USD'}",2,5,0.0,"24,23",369805,200 Level - 216,0,200 Level - 216,2,[2],1,78443,200 Level,179.25
"{'amount': 179.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285895294,"{'amount': 145.0, 'currency': 'USD'}",2,16,0.0,General Admission,369757,100 Level - 113,0,113,0,[2],2,78442,100 Level,179.25
"{'amount': 179.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285274934,"{'amount': 145.0, 'currency': 'USD'}",2,7,0.0,"3,4",369790,200 Level - 210,0,210,0,[2],2,78443,200 Level,179.25
"{'amount': 180.1, 'currency': 'USD'}",[1],[1],False,"{'amount': 97.9, 'currency': 'USD'}",0,,,1287103622,"{'amount': 148.0, 'currency': 'USD'}",2,21,0.0,"1,2",369791,200 Level - 211,0,211,2,[2],1,78443,200 Level,180.1
"{'amount': 180.1, 'currency': 'USD'}",[1],[1],False,"{'amount': 97.9, 'currency': 'USD'}",0,,,1287149351,"{'amount': 148.0, 'currency': 'USD'}",2,24,0.0,,369796,200 Level - 223,0,223,2,[2],1,78443,200 Level,180.1
"{'amount': 180.39, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1284870411,"{'amount': 145.95, 'currency': 'USD'}",2,2,0.0,General Admission,369802,200 Level - 213,0,200 Level - 213,2,[2],1,78443,200 Level,180.39
"{'amount': 181.3, 'currency': 'USD'}",[1],[1],False,,0,,[3288],1285892637,"{'amount': 149.0, 'currency': 'USD'}",2,1,0.0,"12,13",369803,200 Level - 214,0,200 Level - 214,0,[2],2,78443,200 Level,181.3
"{'amount': 182.5, 'currency': 'USD'}",[1],[1],False,,0,,,1285852429,"{'amount': 150.0, 'currency': 'USD'}",1,22,0.0,General Admission,369795,200 Level - 222,0,222,0,[1],1,78443,200 Level,182.5
"{'amount': 182.5, 'currency': 'USD'}",[1],[1],False,,0,,,1286110794,"{'amount': 150.0, 'currency': 'USD'}",1,4,0.0,6,369778,400 Level - 418,0,418,2,[1],1,78440,400 Level,182.5
"{'amount': 182.6, 'currency': 'USD'}",[1],[1],False,,0,,,1285884302,"{'amount': 150.08, 'currency': 'USD'}",2,BS6,0.0,"23,24",369807,200 Level - 218,0,218,0,[2],2,78443,200 Level,182.6
"{'amount': 182.85, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 99.57, 'currency': 'USD'}",0,[1],[204],1285853969,"{'amount': 148.0, 'currency': 'USD'}",3,2,0.0,"7,8,9",369765,West Balcony 317,0,317,2,"[1, 3]",1,78446,West Balcony,182.85
"{'amount': 184.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,[1],[2361],1285895563,"{'amount': 149.0, 'currency': 'USD'}",4,5,0.0,"9,10,11,12",369805,200 Level - 216,0,216,1,"[2, 4]",2,78443,200 Level,184.05
"{'amount': 184.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 100.4, 'currency': 'USD'}",0,,,1287525554,"{'amount': 149.0, 'currency': 'USD'}",2,2,0.0,"23,24",568258,Chase Bridges 327,0,327,2,[2],1,98011,Chase Bridges,184.05
"{'amount': 184.05, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 93.42, 'currency': 'USD'}",0,,,1287142034,"{'amount': 149.0, 'currency': 'USD'}",4,BS3,0.0,,369766,West Balcony 318,0,318,2,"[1, 2, 4]",1,78446,West Balcony,184.05
"{'amount': 184.05, 'currency': 'USD'}","[22, 23, 24]",[5],False,"{'amount': 94.53, 'currency': 'USD'}",0,,,1284949779,"{'amount': 149.0, 'currency': 'USD'}",2,23,0.0,General Admission,369790,200 Level - 210,0,210,2,[2],1,78443,200 Level,184.05
"{'amount': 184.84, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1287030837,"{'amount': 149.66, 'currency': 'USD'}",4,21,0.0,"9,10,11,12",369757,100 Level - 113,0,100 Level - 113,2,"[1, 2, 4]",1,78442,100 Level,184.84
"{'amount': 184.9, 'currency': 'USD'}",[1],[1],False,,0,,,1288027134,"{'amount': 152.0, 'currency': 'USD'}",1,20,0.0,19,369755,100 Level - 111,0,111,0,[1],1,78442,100 Level,184.9
"{'amount': 185.24, 'currency': 'USD'}","[17, 22, 23, 24, 25]",[5],False,,0,"[1, 6]","[101, 14554, 204]",1284908367,"{'amount': 149.99, 'currency': 'USD'}",2,9,0.0,,369803,200 Level - 214,0,214,0,[2],2,78443,200 Level,185.24
"{'amount': 185.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285844653,"{'amount': 150.0, 'currency': 'USD'}",2,24,0.0,"13,14",369796,200 Level - 223,0,200 Level - 223,0,[2],2,78443,200 Level,185.25
"{'amount': 185.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1285908634,"{'amount': 150.0, 'currency': 'USD'}",2,19,0.0,"6,5",369789,200 Level - 209,0,200 Level - 209,2,[2],1,78443,200 Level,185.25
"{'amount': 185.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286731740,"{'amount': 150.0, 'currency': 'USD'}",2,5,0.0,General Admission,369779,400 Level - 419,0,400 Level - 419,0,[2],2,78440,400 Level,185.25
"{'amount': 185.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1287442130,"{'amount': 150.0, 'currency': 'USD'}",4,1,0.0,"5,6,7,8",369777,400 Level - 417,0,417,2,"[1, 2, 4]",1,78440,400 Level,185.25
"{'amount': 185.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1287586183,"{'amount': 150.0, 'currency': 'USD'}",1,3,0.0,General Admission,586328,West Balcony Bar Stools 319,0,West Balcony Bar Stools 319,0,[1],1,99398,West Balcony Bar Stools,185.25
"{'amount': 185.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1288331540,"{'amount': 150.0, 'currency': 'USD'}",4,10,0.0,General Admission,369788,200 Level - 208,0,208,2,"[1, 2, 4]",1,78443,200 Level,185.25
"{'amount': 186.1, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1286011611,"{'amount': 153.0, 'currency': 'USD'}",2,4,0.0,"4,5",369793,200 Level - 220,0,220,2,[2],1,78443,200 Level,186.1
"{'amount': 190.93, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1284851222,"{'amount': 154.73, 'currency': 'USD'}",2,16 PTBM,0.0,,369801,200 Level - 212,0,212,2,[2],1,78443,200 Level,190.93
"{'amount': 191.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286930313,"{'amount': 155.0, 'currency': 'USD'}",4,1,0.0,"5,6,7,8",369778,400 Level - 418,0,418,2,"[1, 2, 4]",1,78440,400 Level,191.25
"{'amount': 192.1, 'currency': 'USD'}",[1],[1],False,"{'amount': 97.9, 'currency': 'USD'}",0,,,1287149296,"{'amount': 158.0, 'currency': 'USD'}",2,24,0.0,,369790,200 Level - 210,0,210,2,[2],1,78443,200 Level,192.1
"{'amount': 192.1, 'currency': 'USD'}",[1],[1],False,,0,[1],"[2361, 204]",1285879136,"{'amount': 158.0, 'currency': 'USD'}",3,5,0.0,"5,6,7",369806,200 Level - 217,0,200 Level - 217,0,[3],3,78443,200 Level,192.1
"{'amount': 192.45, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1286779963,"{'amount': 156.0, 'currency': 'USD'}",2,3,0.0,"3,4",369805,200 Level - 216,0,200 Level - 216,0,[2],2,78443,200 Level,192.45
"{'amount': 193.3, 'currency': 'USD'}",[1],[1],False,,0,,,1287136838,"{'amount': 159.0, 'currency': 'USD'}",2,2,0.0,General Admission,369777,400 Level - 417,0,417,1,"[1, 2]",1,78440,400 Level,193.3
